assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_CBMreading,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
FastBridge_CBMreading,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
FastBridge_CBMreading,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
FastBridge_CBMreading,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
FastBridge_CBMreading,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
