identificationCode,scoreType,resultDatatypeTypeDescriptor,variableName
OnsetSounds,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,onset_sounds_error_total_items___items_correct
OnsetSounds,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,onset_sounds_percentile_at_school
OnsetSounds,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,onset_sounds_percentile_at_lea
OnsetSounds,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,onset_sounds_percentile_at_nation
OnsetSounds,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,onset_sounds_risk_level
OralRepetition,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,oral_repetition_total_items
OralRepetition,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,oral_repetition_items_correct
OralRepetition,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,oral_repetition_ic_per_minute
OralRepetition,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,oral_repetition_error_total_items___items_correct
OralRepetition,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,oral_repetition_percentile_at_school
OralRepetition,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,oral_repetition_percentile_at_lea
OralRepetition,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,oral_repetition_percentile_at_nation
OralRepetition,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,oral_repetition_risk_level
SentenceReading,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,sentence_reading_total_words_read
SentenceReading,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,sentence_reading_words_read_correct
SentenceReading,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,sentence_reading_wrc_per_minute
SentenceReading,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,sentence_reading_error
SentenceReading,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,sentence_reading_percentile_at_school
SentenceReading,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,sentence_reading_percentile_at_lea
SentenceReading,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,sentence_reading_percentile_at_nation
SentenceReading,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,sentence_reading_risk_level
SightWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,sight_words_total_words_read
SightWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,sight_words_words_read_correct
SightWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,sight_words_wrc_per_minute
SightWords,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,sight_words_error
SightWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,sight_words_percentile_at_school
SightWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,sight_words_percentile_at_lea
SightWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,sight_words_percentile_at_nation
SightWords,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,sight_words_risk_level
WordBlending,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_blending_total_items
WordBlending,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_blending_items_correct
WordBlending,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,word_blending_ic_per_minute
WordBlending,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_blending_error_total_items___items_correct
WordBlending,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_blending_percentile_at_school
WordBlending,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_blending_percentile_at_lea
WordBlending,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_blending_percentile_at_nation
WordBlending,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,word_blending_risk_level
WordRhyming,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_rhyming_total_items
WordRhyming,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_rhyming_items_correct
WordRhyming,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,word_rhyming_ic_per_minute
WordRhyming,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_rhyming_error_total_items___items_correct
WordRhyming,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_rhyming_percentile_at_school
WordRhyming,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_rhyming_percentile_at_lea
WordRhyming,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_rhyming_percentile_at_nation
WordRhyming,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,word_rhyming_risk_level
WordSegmenting,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_segmenting_total_items
WordSegmenting,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_segmenting_items_correct
WordSegmenting,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal,word_segmenting_ic_per_minute
WordSegmenting,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer,word_segmenting_error_total_items___items_correct
WordSegmenting,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_segmenting_percentile_at_school
WordSegmenting,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_segmenting_percentile_at_lea
WordSegmenting,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile,word_segmenting_percentile_at_nation
WordSegmenting,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level,word_segmenting_risk_level
