assessmentIdentifier,codeValue,description,namespace,shortDescription,isBasePeriod
FastBridge_earlyReading,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall,1
FastBridge_earlyReading,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter,1
FastBridge_earlyReading,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring,1
FastBridge_earlyReading,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4,1
FastBridge_earlyReading,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5,1
