codeValue,description,namespace,shortDescription
Composite Score,Early Reading English Composite Score,uri://fastbridge.org/assessment,Composite Score
School Percentile,Percentile rank at school level,uri://fastbridge.org/assessment,School Percentile
LEA Percentile,Percentile rank at LEA level,uri://fastbridge.org/assessment,LEA Percentile
National Percentile,Percentile rank at national level,uri://fastbridge.org/assessment,National Percentile
Risk Level,Risk level assessment,uri://fastbridge.org/assessment,Risk Level
Total Words Read,Total number of words read,uri://fastbridge.org/assessment,Total Words Read
Words Read Correct,Number of words read correctly,uri://fastbridge.org/assessment,Words Read Correct
WRC per minute,Words read correctly per minute,uri://fastbridge.org/assessment,WRC per minute
Median Accuracy,Median accuracy percentage,uri://fastbridge.org/assessment,Median Accuracy
Error Count,Number of errors made,uri://fastbridge.org/assessment,Error Count
Total Items,Total number of items attempted,uri://fastbridge.org/assessment,Total Items
Items Correct,Number of items answered correctly,uri://fastbridge.org/assessment,Items Correct
IC per minute,Items correct per minute,uri://fastbridge.org/assessment,IC per minute
