assessmentIdentifier,assessmentTitle,namespace,assessmentFamily,assessmentCategoryDescriptor,academicSubjectDescriptor
WIN_Soft_Skills,WIN Work Ready Soft Skills Assessment,uri://winlearning.com,WIN Work Ready,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Career and Technical Education
WIN_Academic_Skills,WIN Work Ready Academic Skills Assessment,uri://winlearning.com,WIN Work Ready,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Career and Technical Education
