assessmentIdentifier,edfi_descriptor
WIN_Soft_Skills,uri://ed-fi.org/AcademicSubjectDescriptor#Career and Technical Education
WIN_Academic_Skills,uri://ed-fi.org/AcademicSubjectDescriptor#Career and Technical Education
