codeValue,description,namespace,shortDescription
Monitor,Student is approaching the On Track score for children under four years old. Continue to monitor and support the student in this learning area.,uri://www.cliengage.org/tx-kea/assessment/PerformanceLevelDescriptor,Monitor
Support,Student scored below the expected range for this age group and additional support is recommended.,uri://www.cliengage.org/tx-kea/assessment/PerformanceLevelDescriptor,Support
On-Track,Student's score is On Track or within the expected range.,uri://www.cliengage.org/tx-kea/assessment/PerformanceLevelDescriptor,On-Track
