UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,UEIS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C00CARNEGIE,C21BASIC,CARNEGIEIC,CARNEGIESAEC,CARNEGIERSCH,CARNEGIESIZE,CARNEGIEALF,CARNEGIEAPM,CARNEGIEGPM,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
100654,Alabama A & M University,AAMU,4900 Meridian Street,Normal,AL,35762,1,5,Dr. Daniel K. Wims,President,2563725000,636001097,JDVGS67MSLH7,00100200,1,www.aamu.edu/,https://www.aamu.edu/admissions-aid/index.html,https://www.aamu.edu/admissions-aid/financial-aid/,https://www.aamu.edu/admissions-aid/undergraduate-admissions/apply-today.html,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html,,,https://www.aamu.edu/administrativeoffices/VADS/Pages/Disability-Services.aspx,1,1,1,9,1,1,12,1,1,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,16,18,9,4,3,3,4,1,2,1,3,2,-2,-2,26620,1,290,1089,Madison County,105,-86.568502,34.783368,106,1
100663,University of Alabama at Birmingham,UAB,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,1,5,Ray L. Watts,President,2059344011,636005396,YND4PLMC9AN7,00105200,1,https://www.uab.edu/,https://www.uab.edu/admissions/,https://www.uab.edu/cost-aid/,https://www.uab.edu/admissions/apply,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,https://www.uab.edu/students/veterans,https://www.uab.edu/registrar/students,https://www.uab.edu/students/disability/,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,15,15,16,4,1,4,5,2,8,2,5,1,The University of Alabama System,101050,13820,1,142,1073,Jefferson County,107,-86.799345,33.505697,91,1
100690,Amridge University,Southern Christian University  Regions University,1200 Taylor Rd,Montgomery,AL,36117-3553,1,5,Michael C.Turner,President,33438738777550,237034324,RB27R4GLDKE7,02503400,1,https://www.amridgeuniversity.edu/,https://www.amridgeuniversity.edu/admissions/,https://www.amridgeuniversity.edu/financialaid/,https://www.amridgeuniversity.edu/myamridge/,https://www2.amridgeuniversity.edu:9091/,https://www.amridgeuniversity.edu/admissions/military/,,https://www.amridgeuniversity.edu/studentservices/,2,1,2,9,1,1,12,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,51,20,25,-2,-2,2,6,1,2,2,1,2,-2,-2,33860,1,388,1101,Montgomery County,102,-86.174010,32.362609,125,2
100706,University of Alabama in Huntsville,UAH  University of Alabama Huntsville,301 Sparkman Dr,Huntsville,AL,35899,1,5,Chuck Karr,President,2568246120,630520830,HB6KNGVNJRU1,00105500,1,www.uah.edu/,https://www.uah.edu/admissions,finaid.uah.edu/,www.uah.edu/admissions/undergraduate/apply-for-admission,uah.clearcostcalculator.com/student/default/netpricecalculator/survey,www.uah.edu/admissions/graduate/financial-aid/veterans,www.uah.edu/heoa,www.uah.edu/health-and-wellness/disability-support,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,16,15,7,5,2,3,5,1,2,2,3,1,The University of Alabama System,101050,26620,1,290,1089,Madison County,105,-86.640449,34.724557,91,2
100724,Alabama State University,,915 S Jackson Street,Montgomery,AL,36104-0271,1,5,Quinton T. Ross,President,3342294100,636001101,DLJWLMSNK627,00100500,1,www.alasu.edu/,www.alasu.edu/admissions/index.aspx,www.alasu.edu/_qa/financial-aid.php,www.alasu.edu/admissions/undergrad-admissions/index.aspx,tcc.ruffalonl.com/Alabama State University/Freshman-Students,,https://www.alasu.edu/_qa/institutional-data.php,www.alasu.edu/_qa/office-disability-services.php,1,1,1,9,1,1,11,1,1,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,21,17,22,4,3,3,3,4,2,2,2,2,-2,-2,33860,1,388,1101,Montgomery County,102,-86.295677,32.364317,97,1
100733,University of Alabama System Office,,500 University Blvd. East,Tuscaloosa,AL,35401,1,5,Sid Trant,Interim Chancellor,2053485122,636001138,,00800400,2,www.uasystem.edu/,,,,,,,www.uasystem.edu/,0,1,1,9,1,1,11,1,2,-2,-2,2,12,1,A,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,The University of Alabama System,101050,46220,1,-2,1125,Tuscaloosa County,107,-87.529594,33.207015,-2,-2
100751,The University of Alabama,,739 University Blvd,Tuscaloosa,AL,35487-0100,1,5,Dr. Stuart R. Bell,President,2053486010,636001138,RCNJEHZ83EV6,00105100,1,www.ua.edu/,gobama.ua.edu/,financialaid.ua.edu/,apply.ua.edu/,ua.aidcalc.cloud/netprice.htm,https://vets.sa.ua.edu/,registrar.ua.edu/academics-policies/student-right-to-know/,ods.ua.edu/,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A,-2,-2,-2,1,1,1,1,1,2,15,15,16,5,1,5,5,2,2,2,5,1,The University of Alabama System,101050,46220,1,-2,1125,Tuscaloosa County,107,-87.545978,33.211875,90,1
100760,Central Alabama Community College,,1675 Cherokee Rd,Alexander City,AL,35010,1,5,Jeff Lynn,President,2562346346,631022757,G1C3X4MHV2N1,00100700,1,www.cacc.edu/,https://www.cacc.edu/admissions/,https://www.cacc.edu/financial-aid/,https://www.cacc.edu/admissions/apply/,https://www.cacc.edu/net-price-calculator/,https://www.cacc.edu/financial-aid/veterans/,https://www.cacc.edu/about/consumer-information/,https://www.cacc.edu/services/other-services/disability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A,-2,-2,-2,1,1,1,1,1,4,40,5,3,4,-2,2,1,1,-2,2,2,1,Alabama Community College System,101030,10760,2,194,1123,Tallapoosa County,103,-85.945266,32.924780,72,2
100812,Athens State University,,300 N Beaty St,Athens,AL,35611,1,5,Dr. Catherine Wehlburg,President,2562338100,630701340,GFZJMKWMF9K7,00100800,1,https://www.athens.edu/,https://www.athens.edu/admissions/,https://www.athens.edu/admissions/financial-aid,https://beartracks.athens.edu/,,,,https://www.athens.edu/resources/accessibility-services,1,1,1,7,1,1,20,1,2,2,2,2,31,1,A,-2,-2,-2,1,1,1,1,1,2,32,22,15,-2,-2,2,3,2,6,2,2,2,-2,-2,26620,1,290,1083,Limestone County,105,-86.964698,34.806793,134,1
