assessmentIdentifier,namespace,assessmentTitle,assessmentFamily,academicSubjectDescriptor,assessmentCategoryDescriptor,originalSubject,originalSubType
ela_summative_grade_10,uri://www.caaspp-elpac.org,ELA Summative Grade 10,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
ela_summative_grade_11,uri://www.caaspp-elpac.org,ELA Summative Grade 11,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
ela_summative_grade_3,uri://www.caaspp-elpac.org,ELA Summative Grade 3,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
ela_summative_grade_4,uri://www.caaspp-elpac.org,ELA Summative Grade 4,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
ela_summative_grade_5,uri://www.caaspp-elpac.org,ELA Summative Grade 5,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
ela_summative_grade_6,uri://www.caaspp-elpac.org,ELA Summative Grade 6,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
ela_summative_grade_7,uri://www.caaspp-elpac.org,ELA Summative Grade 7,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
ela_summative_grade_8,uri://www.caaspp-elpac.org,ELA Summative Grade 8,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
ela_summative_grade_9,uri://www.caaspp-elpac.org,ELA Summative Grade 9,Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,ELA,SUM
grade_10_ela_ica,uri://www.caaspp-elpac.org,Grade 10 ELA - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,ICA
