assessmentIdentifier,namespace,assessmentTitle,assessmentFamily,academicSubjectDescriptor,assessmentCategoryDescriptor,originalSubject,originalSubType
grade_3_math_number_operations_fractions,uri://www.caaspp-elpac.org,Grade 3 MATH - Number and Operations - Fractions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_number_operations_in_base_ten,uri://www.caaspp-elpac.org,Grade 3 MATH - Number and Operations in Base Ten (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_operations_algebraic_thinking,uri://www.caaspp-elpac.org,Grade 3 MATH - Operations and Algebraic Thinking (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_performance_task_order_form,uri://www.caaspp-elpac.org,Grade 3 MATH - Performance Task - Order Form (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_properties_multiplication_division,uri://www.caaspp-elpac.org,Grade 3 MATH - Properties of Multiplication and Division (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_represent_interpret_data,uri://www.caaspp-elpac.org,Grade 3 MATH - Represent and Interpret Data (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_3_math_time_volume_mass,uri://www.caaspp-elpac.org,"Grade 3 MATH - Time, Volume, and Mass (FIAB)",Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_cast_ia_i,uri://www.caaspp-elpac.org,Grade 4 CAST IA-I,California Science Test (CAST),uri://ed-fi.org/AcademicSubjectDescriptor#Science,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,CAST,IAB
grade_4_cast_ia_ii,uri://www.caaspp-elpac.org,Grade 4 CAST IA-II,California Science Test (CAST),uri://ed-fi.org/AcademicSubjectDescriptor#Science,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,CAST,IAB
grade_4_ela_brief_writes,uri://www.caaspp-elpac.org,Grade 4 ELA - Brief Writes (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_editing,uri://www.caaspp-elpac.org,Grade 4 ELA - Editing (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_ica,uri://www.caaspp-elpac.org,Grade 4 ELA - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,ICA
grade_4_ela_language_vocab_use,uri://www.caaspp-elpac.org,Grade 4 ELA - Language and Vocabulary Use (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_listen/interpret,uri://www.caaspp-elpac.org,Grade 4 ELA - Listen/Interpret (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_make_support_inferences_informational,uri://www.caaspp-elpac.org,Grade 4 ELA - Make and Support Inferences (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_make_support_inferences_literary,uri://www.caaspp-elpac.org,Grade 4 ELA - Make and Support Inferences (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_performance_task_reptiles,uri://www.caaspp-elpac.org,Grade 4 ELA - Performance Task - Reptiles (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_read_informational,uri://www.caaspp-elpac.org,Grade 4 ELA - Read Informational Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_read_literary,uri://www.caaspp-elpac.org,Grade 4 ELA - Read Literary Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_research_analyze_information,uri://www.caaspp-elpac.org,Grade 4 ELA - Research: Analyze Information (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_research,uri://www.caaspp-elpac.org,Grade 4 ELA - Research (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_research_interpret_integrate,uri://www.caaspp-elpac.org,Grade 4 ELA - Research: Interpret and Integrate (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_research_use_evidence,uri://www.caaspp-elpac.org,Grade 4 ELA - Research: Use Evidence (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_revision,uri://www.caaspp-elpac.org,Grade 4 ELA - Revision (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_text_analysis_informational,uri://www.caaspp-elpac.org,Grade 4 ELA - Text Analysis (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_text_analysis_literary,uri://www.caaspp-elpac.org,Grade 4 ELA - Text Analysis (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_write_revise_informational,uri://www.caaspp-elpac.org,Grade 4 ELA - Write and Revise Informational Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_write_revise_narratives,uri://www.caaspp-elpac.org,Grade 4 ELA - Write and Revise Narratives (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_ela_write_revise_opinion,uri://www.caaspp-elpac.org,Grade 4 ELA - Write and Revise Opinion Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_4_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 4 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_4_elpac_ia_listening_ii,uri://www.caaspp-elpac.org,Grade 4 ELPAC IA-Listening II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_4_elpac_ia_reading_i,uri://www.caaspp-elpac.org,Grade 4 ELPAC IA-Reading I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_4_elpac_ia_reading_ii,uri://www.caaspp-elpac.org,Grade 4 ELPAC IA-Reading II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_4_elpac_ia_speaking_i,uri://www.caaspp-elpac.org,Grade 4 ELPAC IA-Speaking I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_4_elpac_ia_speaking_ii,uri://www.caaspp-elpac.org,Grade 4 ELPAC IA-Speaking II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_4_elpac_ia_writing_i,uri://www.caaspp-elpac.org,Grade 4 ELPAC IA-Writing I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_4_elpac_ia_writing_ii,uri://www.caaspp-elpac.org,Grade 4 ELPAC IA-Writing II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_4_math_angle_measurement_data,uri://www.caaspp-elpac.org,Grade 4 MATH - Angle Measurement and Data (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_build_fractions,uri://www.caaspp-elpac.org,Grade 4 MATH - Build Fractions from Unit Fractions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_factors_multiples,uri://www.caaspp-elpac.org,Grade 4 MATH - Factors and Multiples (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_four_operations,uri://www.caaspp-elpac.org,"Grade 4 MATH - Four Operations: Interpret, Represent, and Solve (FIAB)",Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_fraction_ordering,uri://www.caaspp-elpac.org,Grade 4 MATH - Fraction Equivalence and Ordering (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_fractions_decimal_notation,uri://www.caaspp-elpac.org,Grade 4 MATH - Fractions and Decimal Notation (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_generate_analyze_patterns,uri://www.caaspp-elpac.org,Grade 4 MATH - Generate and Analyze Patterns (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_geometry,uri://www.caaspp-elpac.org,Grade 4 MATH - Geometry (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_ica,uri://www.caaspp-elpac.org,Grade 4 MATH - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,ICA
grade_4_math_measurement_data,uri://www.caaspp-elpac.org,Grade 4 MATH - Measurement and Data (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_multi_digit_arithmetic,uri://www.caaspp-elpac.org,Grade 4 MATH - Multi-Digit Arithmetic: Place Value and Operations (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_number_operations_fractions,uri://www.caaspp-elpac.org,Grade 4 MATH - Number and Operations - Fractions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_number_operations_in_base_ten,uri://www.caaspp-elpac.org,Grade 4 MATH - Number and Operations in Base Ten (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_operations_algebraic_thinking,uri://www.caaspp-elpac.org,Grade 4 MATH - Operations and Algebraic Thinking (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_performance_task_animal_jumping,uri://www.caaspp-elpac.org,Grade 4 MATH - Performance Task - Animal Jumping (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_multi_digit_whole_numbers,uri://www.caaspp-elpac.org,Grade 4 MATH - Place Value and Multi-Digit Whole Numbers (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_4_math_problem_solve_with_measurements,uri://www.caaspp-elpac.org,Grade 4 MATH - Problem Solve with Measurements (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_cast_ia_i,uri://www.caaspp-elpac.org,Grade 5 CAST IA-I,California Science Test (CAST),uri://ed-fi.org/AcademicSubjectDescriptor#Science,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,CAST,IAB
grade_5_cast_ia_ii,uri://www.caaspp-elpac.org,Grade 5 CAST IA-II,California Science Test (CAST),uri://ed-fi.org/AcademicSubjectDescriptor#Science,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,CAST,IAB
grade_5_ela_brief_writes,uri://www.caaspp-elpac.org,Grade 5 ELA - Brief Writes (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_editing,uri://www.caaspp-elpac.org,Grade 5 ELA - Editing (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_ica,uri://www.caaspp-elpac.org,Grade 5 ELA - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,ICA
grade_5_ela_language_vocab_use,uri://www.caaspp-elpac.org,Grade 5 ELA - Language and Vocabulary Use (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_listen/interpret,uri://www.caaspp-elpac.org,Grade 5 ELA - Listen/Interpret (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_make_support_inferences_informational,uri://www.caaspp-elpac.org,Grade 5 ELA - Make and Support Inferences (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_make_support_inferences_literary,uri://www.caaspp-elpac.org,Grade 5 ELA - Make and Support Inferences (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_performance_task_recycling,uri://www.caaspp-elpac.org,Grade 5 ELA - Performance Task - Recycling (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_read_informational,uri://www.caaspp-elpac.org,Grade 5 ELA - Read Informational Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_read_literary,uri://www.caaspp-elpac.org,Grade 5 ELA - Read Literary Texts (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_research_analyze_information,uri://www.caaspp-elpac.org,Grade 5 ELA - Research: Analyze Information (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_research,uri://www.caaspp-elpac.org,Grade 5 ELA - Research (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_research_interpret_integrate,uri://www.caaspp-elpac.org,Grade 5 ELA - Research: Interpret and Integrate (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_research_use_evidence,uri://www.caaspp-elpac.org,Grade 5 ELA - Research: Use Evidence (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_revision,uri://www.caaspp-elpac.org,Grade 5 ELA - Revision (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_text_analysis_informational,uri://www.caaspp-elpac.org,Grade 5 ELA - Text Analysis (Informational) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_text_analysis_literary,uri://www.caaspp-elpac.org,Grade 5 ELA - Text Analysis (Literary) (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_write_revise_informational,uri://www.caaspp-elpac.org,Grade 5 ELA - Write and Revise Informational Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_write_revise_narratives,uri://www.caaspp-elpac.org,Grade 5 ELA - Write and Revise Narratives (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_ela_write_revise_opinion,uri://www.caaspp-elpac.org,Grade 5 ELA - Write and Revise Opinion Texts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_elpac_ia_listening_i,uri://www.caaspp-elpac.org,Grade 5 ELPAC IA-Listening I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_5_elpac_ia_listening_ii,uri://www.caaspp-elpac.org,Grade 5 ELPAC IA-Listening II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_5_elpac_ia_reading_i,uri://www.caaspp-elpac.org,Grade 5 ELPAC IA-Reading I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_5_elpac_ia_reading_ii,uri://www.caaspp-elpac.org,Grade 5 ELPAC IA-Reading II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_5_elpac_ia_speaking_i,uri://www.caaspp-elpac.org,Grade 5 ELPAC IA-Speaking I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_5_elpac_ia_speaking_ii,uri://www.caaspp-elpac.org,Grade 5 ELPAC IA-Speaking II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_5_elpac_ia_writing_i,uri://www.caaspp-elpac.org,Grade 5 ELPAC IA-Writing I,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_5_elpac_ia_writing_ii,uri://www.caaspp-elpac.org,Grade 5 ELPAC IA-Writing II,ELPAC,uri://ed-fi.org/AcademicSubjectDescriptor#English,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELPAC,IAB
grade_5_math_add_subtract_with_equivalent_fractions,uri://www.caaspp-elpac.org,Grade 5 MATH - Add and Subtract with Equivalent Fractions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_convert_measurements,uri://www.caaspp-elpac.org,Grade 5 MATH - Convert Measurements (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_geometry,uri://www.caaspp-elpac.org,Grade 5 MATH - Geometry (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_ica,uri://www.caaspp-elpac.org,Grade 5 MATH - Interim Comprehensive Assessment (ICA),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,ICA
grade_5_math_measurement_data,uri://www.caaspp-elpac.org,Grade 5 MATH - Measurement and Data (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_multiply_divide_fractions_i,uri://www.caaspp-elpac.org,Grade 5 MATH - Multiply and Divide Fractions I (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_multiply_divide_fractions_ii,uri://www.caaspp-elpac.org,Grade 5 MATH - Multiply and Divide Fractions II (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_number_operations_fractions,uri://www.caaspp-elpac.org,Grade 5 MATH - Number and Operations - Fractions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_number_operations_in_base_ten,uri://www.caaspp-elpac.org,Grade 5 MATH - Number and Operations in Base Ten (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_numerical_expressions,uri://www.caaspp-elpac.org,Grade 5 MATH - Numerical Expressions (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_operations_algebraic_thinking,uri://www.caaspp-elpac.org,Grade 5 MATH - Operations and Algebraic Thinking (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_operations_with_whole_numbers_decimals,uri://www.caaspp-elpac.org,Grade 5 MATH - Operations with Whole Numbers and Decimals (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_patterns_relationships,uri://www.caaspp-elpac.org,Grade 5 MATH - Patterns and Relationships (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
grade_5_math_performance_task_turtle_habitat,uri://www.caaspp-elpac.org,Grade 5 MATH - Performance Task - Turtle Habitat (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_place_value_system,uri://www.caaspp-elpac.org,Grade 5 MATH - Place Value System (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_5_math_volume_concepts,uri://www.caaspp-elpac.org,Grade 5 MATH - Volume Concepts (FIAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,Math,IAB
grade_6_ela_brief_writes,uri://www.caaspp-elpac.org,Grade 6 ELA - Brief Writes (IAB),Smarter Balanced Assessments,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,ELA,IAB
