assessmentIdentifier,gradeLevelDescriptor
grade_7_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_algebraic_expressions_and_equations_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_angles_areas_and_volume_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_equivalent_expressions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_expressions_and_equations_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_geometric_figures_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_geometry_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_performance_task_camping_tasks_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_ratios_and_proportional_relationships_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_statistics_and_probability_fiab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_7_math_the_number_system_iab,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
grade_8_ela_brief_writes_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_edit/revise_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_editing_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_language_and_vocabulary_use_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_listen/interpret_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_make_and_support_inferences_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_make_and_support_inferences_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_performance_task_women_in_space_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_read_informational_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_read_literary_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_research_analyze_and_integrate_information_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_research_evaluate_information_and_sources_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_research_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_research_use_evidence_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_text_analysis_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_text_analysis_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_write_and_revise_argumentative_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_write_and_revise_explanatory_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_ela_write_and_revise_narratives_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_analyze_and_solve_linear_equations_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_congruence_and_similarity_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_expressions_and_equations_i_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_expressions_and_equations_ii_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_functions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_geometry_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_performance_task_baseball_tickets_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_proportional_relationships_lines_and_linear_equations_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_pythagorean_theorem_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_radicals_and_integer_exponents_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_the_number_system_iab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_8_math_volume_of_cylinders_cones_and_spheres_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
grade_9_10_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_10_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_9_10_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_10_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_9_10_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_10_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_9_10_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_10_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_9_10_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_10_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_9_10_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_10_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_9_10_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_10_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_9_10_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_10_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
grade_9_ela_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
grade_9_math_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_cast_ia_earth_and_space_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_cast_ia_earth_and_space_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_cast_ia_earth_and_space_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_cast_ia_earth_and_space_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_cast_ia_earth_and_space_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_cast_ia_earth_and_space_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_cast_ia_earth_and_space_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_cast_ia_earth_and_space_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_cast_ia_life_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_cast_ia_life_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_cast_ia_life_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_cast_ia_life_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_cast_ia_life_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_cast_ia_life_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_cast_ia_life_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_cast_ia_life_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_cast_ia_physical_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_cast_ia_physical_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_cast_ia_physical_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_cast_ia_physical_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_cast_ia_physical_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_cast_ia_physical_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_cast_ia_physical_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_cast_ia_physical_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_brief_writes_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_brief_writes_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_brief_writes_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_brief_writes_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_editing_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_editing_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_editing_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_editing_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_language_and_vocabulary_use_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_language_and_vocabulary_use_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_language_and_vocabulary_use_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_language_and_vocabulary_use_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_listen/interpret_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_listen/interpret_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_listen/interpret_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_listen/interpret_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_make_and_support_inferences_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_make_and_support_inferences_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_make_and_support_inferences_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_make_and_support_inferences_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_make_and_support_inferences_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_make_and_support_inferences_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_make_and_support_inferences_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_make_and_support_inferences_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_performance_task_how_we_learn_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_performance_task_how_we_learn_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_performance_task_how_we_learn_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_performance_task_how_we_learn_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_read_informational_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_read_informational_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_read_informational_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_read_informational_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_read_literary_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_read_literary_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_read_literary_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_read_literary_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_research_analyze_and_integrate_information_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_research_analyze_and_integrate_information_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_research_analyze_and_integrate_information_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_research_analyze_and_integrate_information_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_research_evaluate_information_and_sources_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_research_evaluate_information_and_sources_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_research_evaluate_information_and_sources_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_research_evaluate_information_and_sources_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_research_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_research_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_research_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_research_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_research_use_evidence_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_research_use_evidence_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_research_use_evidence_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_research_use_evidence_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_revision_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_revision_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_revision_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_revision_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_text_analysis_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_text_analysis_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_text_analysis_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_text_analysis_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_text_analysis_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_text_analysis_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_text_analysis_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_text_analysis_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_write_and_revise_argumentative_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_write_and_revise_argumentative_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_write_and_revise_argumentative_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_write_and_revise_argumentative_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_write_and_revise_explanatory_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_write_and_revise_explanatory_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_write_and_revise_explanatory_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_write_and_revise_explanatory_texts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_ela_write_and_revise_narratives_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_ela_write_and_revise_narratives_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_ela_write_and_revise_narratives_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_ela_write_and_revise_narratives_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_algebra_and_functions_i_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_algebra_and_functions_i_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_algebra_and_functions_i_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_algebra_and_functions_i_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_algebra_and_functions_ii_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_algebra_and_functions_ii_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_algebra_and_functions_ii_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_algebra_and_functions_ii_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_analyze_and_building_functions_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_analyze_and_building_functions_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_analyze_and_building_functions_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_analyze_and_building_functions_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_analyze_and_building_functions_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_analyze_and_building_functions_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_analyze_and_building_functions_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_analyze_and_building_functions_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_create_equations_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_create_equations_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_create_equations_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_create_equations_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_create_equations_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_create_equations_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_create_equations_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_create_equations_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_equations_and_reasoning_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_equations_and_reasoning_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_equations_and_reasoning_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_equations_and_reasoning_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_geometry_and_right_triangle_trigonometry_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_geometry_and_right_triangle_trigonometry_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_geometry_and_right_triangle_trigonometry_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_geometry_and_right_triangle_trigonometry_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_geometry_congruence_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_geometry_congruence_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_geometry_congruence_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_geometry_congruence_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_geometry_measurement_and_modeling_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_geometry_measurement_and_modeling_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_geometry_measurement_and_modeling_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_geometry_measurement_and_modeling_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_graph_equations_and_inequalities_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_graph_equations_and_inequalities_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_graph_equations_and_inequalities_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_graph_equations_and_inequalities_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_graph_equations_and_inequalities_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_graph_equations_and_inequalities_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_graph_equations_and_inequalities_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_graph_equations_and_inequalities_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_interpreting_functions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_interpreting_functions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_interpreting_functions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_interpreting_functions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_number_and_quantity_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_number_and_quantity_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_number_and_quantity_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_number_and_quantity_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_performance_task_teen_driving_restrictions_iab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_performance_task_teen_driving_restrictions_iab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_performance_task_teen_driving_restrictions_iab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_performance_task_teen_driving_restrictions_iab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_seeing_structure_in_expressions/polynomial_expressions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_seeing_structure_in_expressions/polynomial_expressions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_seeing_structure_in_expressions/polynomial_expressions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_seeing_structure_in_expressions/polynomial_expressions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_solve_equations_and_inequalities_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_solve_equations_and_inequalities_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_solve_equations_and_inequalities_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_solve_equations_and_inequalities_linear_and_exponential_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_solve_equations_and_inequalities_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_solve_equations_and_inequalities_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_solve_equations_and_inequalities_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_solve_equations_and_inequalities_quadratic_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
high_school_math_statistics_and_probability_fiab,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
high_school_math_statistics_and_probability_fiab,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
high_school_math_statistics_and_probability_fiab,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
high_school_math_statistics_and_probability_fiab,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
kindergarten_elpac_ia_listening_i,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
kindergarten_elpac_ia_listening_ii,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
kindergarten_elpac_ia_reading_i,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
kindergarten_elpac_ia_reading_ii,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
kindergarten_elpac_ia_speaking_i,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
kindergarten_elpac_ia_speaking_ii,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
kindergarten_elpac_ia_writing_i,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
kindergarten_elpac_ia_writing_ii,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
math_summative_grade_10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
math_summative_grade_11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
math_summative_grade_3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
math_summative_grade_4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
math_summative_grade_5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
math_summative_grade_6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
math_summative_grade_7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
math_summative_grade_8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
math_summative_grade_9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
middle_school_cast_ia_earth_and_space_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
middle_school_cast_ia_earth_and_space_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
middle_school_cast_ia_earth_and_space_sciences_i,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
middle_school_cast_ia_earth_and_space_sciences_ii,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
