assessmentIdentifier,edfi_descriptor
ACCESS,uri://ed-fi.org/AssessmentCategoryDescriptor#English proficiency screening test
Alternate-ACCESS,uri://ed-fi.org/AssessmentCategoryDescriptor#English proficiency screening test
