MOSIS_STATE_ID,GROWTH_YEAR,REPORT_YEAR,GRADE,COUNTY_DISTRICT_CODE,SCHOOL_CODE,MATH_Z_T,MATH_Z_PREDICTED,MATH_Z_PREDICTED_SE,MATH_Z_RESIDUAL,MATH_Z_RESIDUAL_SE,FREE_OR_REDUCED_LUNCH,GENDER,IEP_DISABILITY,ENGLISH_LANGUAGE_LEARNER,IN_BLDG_LESS_THAN_FAY,DIRECT_CERT,STUDENT_GROUP,HOMELESS,MILITARY,GIFTED,FOSTER,AMERICAN_INDIAN,ASIAN_PACIFIC_ISLANDER,BLACK,HISPANIC,WHITE,MULTI_RACE,Neglected_delinquent
,2025,2025,5,96119,4029,-1.232910156,-1.255487805,0.5269370382,0.0225776486,0.5264262333,Y,M,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N
,2025,2025,8,96119,4069,-2.659667969,-2.777892007,0.5796159773,0.1182240381,0.5789585202,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N
,2025,2025,5,96119,4269,-1.784667969,-1.095485726,0.5268415615,-0.689182243,0.5265217854,N,M,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,9990,-0.924072266,-0.738431853,0.5610555332,-0.185640413,0.5594387877,N,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,6,96119,4029,1.5827636719,0.432404431,0.5670799277,1.1503592409,0.5666885864,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4269,-1.91796875,-2.190345557,0.5795391684,0.2723768068,0.5790354061,N,M,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4069,-0.755249023,-1.017047447,0.5795622423,0.2617984233,0.5790123112,Y,M,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N
,2025,2025,5,96119,4069,1.2141113281,-0.227343933,0.5268745969,1.4414552611,0.5264887278,Y,M,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
,2025,2025,8,96119,4269,-0.695068359,-2.750510052,0.5796697583,2.0554416925,0.5789046731,N,M,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N
,2025,2025,7,96119,4029,-0.596923828,-0.044273373,0.5604237532,-0.552650455,0.5600716788,Y,F,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
