assessmentIdentifier,gradeLevelDescriptor,gradeLevelShort
ACT,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade,Eighth grade
ACT,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade,Ninth grade
ACT,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade,Tenth grade
ACT,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade,Eleventh grade
ACT,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade,Twelfth grade
