assessmentIdentifier,academicSubjectDescriptor
ACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
ACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
