identificationCode,assessmentIdentifier,edfi_descriptor
,KRA,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
SFScore,KRA,uri://ed-fi.org/AcademicSubjectDescriptor#Other
LLScore,KRA,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MAScore,KRA,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PDScore,KRA,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education"
