codeValue,description,namespace,shortDescription,column_name,data_type,is_deprecated
"Cut Point","Cut Point",uri://www.cliengage.org/TX-KEA/AssessmentReportingMethodDescriptor,"Cut Point"
"Score","Score",uri://www.cliengage.org/TX-KEA/AssessmentReportingMethodDescriptor,"Score"
"Subject","Subject",uri://www.cliengage.org/TX-KEA/AssessmentReportingMethodDescriptor,"Subject"
"Wave","Wave",uri://www.cliengage.org/TX-KEA/AssessmentReportingMethodDescriptor,"Wave"
"Type","Type",uri://www.cliengage.org/TX-KEA/AssessmentReportingMethodDescriptor,"Type"

