codeValue,description,namespace,shortDescription
F,Fall,uri://renaissance.com/products/AssessmentPeriodDescriptor,Fall
Mid-Year,Middle of Year,uri://renaissance.com/products/AssessmentPeriodDescriptor,Middle of Year
S,Spring,uri://renaissance.com/products/AssessmentPeriodDescriptor,Spring
