assessmentFamily,originalGrade,edfi_descriptor
Cambridge,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
Cambridge,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
Cambridge,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
Cambridge,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
