assessmentIdentifier,assessmentNamespace,identificationCode,description,academicSubjectDescriptor,joinKey
PTA,uri://c2five.com/Assessment/PTA,Verbal,Verbal,uri://ed-fi.org/AcademicSubjectDescriptor#Composite,Key
PTA,uri://c2five.com/Assessment/PTA,Non-Verbal,Non-Verbal,uri://ed-fi.org/AcademicSubjectDescriptor#Composite,Key
