codeValue,description,shortDescription,namespace,joinKey
Fall,Fall,Fall,uri://c2five.com/Assessment/PTA/AssessmentPeriodDescriptor,Key
Spring,Spring,Spring,uri://c2five.com/Assessment/PTA/AssessmentPeriodDescriptor,Key
