assessmentIdentifier,assessmentTitle,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
staar_interim_Mathematics,STAAR Interim Mathematics,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
staar_interim_Reading,STAAR Interim Reading,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
staar_interim_Social_Studies,STAAR Interim Social Studies,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
staar_interim_Science,STAAR Interim Science,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#Science
staar_interim_English_Language_Arts,STAAR Interim English Language Arts,uri://tea.texas.gov/student-assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Other,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts

