from,to
00,Kindergarten
01,First grade
02,Second grade
03,Third grade
04,Fourth grade
05,Fifth grade
06,Sixth grade
07,Seventh grade
08,Eighth grade
09,Ninth grade
10,Tenth grade
11,Eleventh grade
12,Twelfth grade
