start_index,end_index,field_length,field_name
618,619,1,extended_constructed_response_condition_code
619,750,131,blank_194
750,752,2,mathematics_reporting_category_1_scores
752,754,2,mathematics_reporting_category_2_scores
754,756,2,mathematics_reporting_category_3_scores
756,758,2,mathematics_reporting_category_4_scores
758,760,2,performance_level_indicator_mathematics
760,762,2,mathematics_raw_score
762,766,4,mathematics_scale_score
766,767,1,mathematics_test_language_version
767,768,1,mathematics_test_version
768,769,1,test_administration_mode__mathematics
769,776,7,blank_206
776,777,1,meets_grade_level_in_mathematics
777,778,1,approaches_grade_level_in_mathematics
778,779,1,masters_grade_level_in_mathematics
779,780,1,staar_progress_measure_mathematics
780,781,1,blank_212
781,782,1,on_track_to_meet_grade_level_mathematics
782,797,15,blank_214
797,798,1,el_performance_measure_mathematics_217
798,800,2,blank_218
800,840,40,item_reporting_category_numbers_mathematics
840,856,16,blank_221
856,896,40,item_student_responses_mathematics
896,912,16,blank_223
912,952,40,item_correct_responses_mathematics
952,968,16,blank_225
968,971,3,percentile_mathematics
971,976,5,quantile_measure_227
976,977,1,mathematics_badge_indicator
977,1017,40,blank_229
1017,1057,40,points_possible_mathematics
1057,1097,40,points_achieved_mathematics
1097,1102,5,blank_233
1102,1147,45,points_possible_reading_language_arts
1147,1192,45,points_achieved_reading_language_arts
1192,1500,308,blank_237
1500,1502,2,social_studies_reporting_category_1_scores
1502,1504,2,social_studies_reporting_category_2_scores
1504,1506,2,social_studies_reporting_category_3_scores
1506,1508,2,social_studies_reporting_category_4_scores
1508,1510,2,social_studies_raw_score
1510,1514,4,social_studies_scale_score
1514,1515,1,social_studies_test_language_version
1515,1516,1,social_studies_test_version
1516,1517,1,test_administration_mode_social_studies
1517,1518,1,blank_248
1518,1520,2,performance_level_indicator_social_studies
1520,1524,4,blank_250
1524,1525,1,meets_grade_level_in_social_studies
1525,1526,1,approaches_grade_level_in_social_studies
1526,1527,1,masters_grade_level_in_social_studies
1527,1528,1,el_performance_measure_social_studies
1528,1600,72,blank_257
1600,1640,40,item_reporting_category_numbers_social_studies
1640,1652,12,blank_260
1652,1692,40,item_student_responses_social_studies
1692,1704,12,blank_262
1704,1744,40,item_correct_responses_social_studies
1744,1756,12,blank_264
1756,1759,3,percentile_social_studies
1759,1799,40,points_possible_social_studies
1799,1816,17,blank_267
