assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_CBMmath_Auto,lowRisk,Low Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Low Risk
FastBridge_CBMmath_Auto,someRisk,Some Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Some Risk
FastBridge_CBMmath_Auto,highRisk,High Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,High Risk
FastBridge_CBMmath_Process,lowRisk,Low Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Low Risk
FastBridge_CBMmath_Process,someRisk,Some Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Some Risk
FastBridge_CBMmath_Process,highRisk,High Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,High Risk
FastBridge_CBMmath_CAP,lowRisk,Low Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Low Risk
FastBridge_CBMmath_CAP,someRisk,Some Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Some Risk
FastBridge_CBMmath_CAP,highRisk,High Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,High Risk
