codeValue,description,namespace,shortDescription,assessmentIdentifier,original_gradelevel
Prekindergarten,Prekindergarten,uri://ed-fi.org/GradeLevelDescriptor,Prekindergarten,DIAL3_4,PK
Kindergarten,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor,Kindergarten,DIAL3_4,00
