gradeLevel,assessmentIdentifier,gradeLevelDescriptor
2,IREAD-3,uri://doe.in.gov/GradeLevelDescriptor#02
3,IREAD-3,uri://doe.in.gov/GradeLevelDescriptor#03
4,IREAD-3,uri://doe.in.gov/GradeLevelDescriptor#04
5,IREAD-3,uri://doe.in.gov/GradeLevelDescriptor#05
