identificationCode,assessmentIdentifier,namespace,description,parentIdentificationCode
rc1_performance,IREAD-3,uri://doe.in.gov/IREAD-3/Assessment,IREAD-3 Reporting Category 1 Performance,
rc2_performance,IREAD-3,uri://doe.in.gov/IREAD-3/Assessment,IREAD-3 Reporting Category 2 Performance,
rc3_performance,IREAD-3,uri://doe.in.gov/IREAD-3/Assessment,IREAD-3 Reporting Category 3 Performance,
