assessmentIdentifier,original_grade,edfi_descriptor
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_Grade_1_GOM_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_Grade_2_GOM_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_Grade_3_GOM_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBM_R_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBM_R_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBM_R_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBM_R_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBM_R_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBM_R_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBM_R_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBM_R_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBM_R_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBM_R_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBM_R_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBM_R_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBM_R_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_COMP_EFFICIENCY_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_COMP_EFFICIENCY_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_COMP_EFFICIENCY_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_COMP_EFFICIENCY_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_COMP_EFFICIENCY_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_COMP_EFFICIENCY_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_COMP_EFFICIENCY_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_COMP_EFFICIENCY_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_COMP_EFFICIENCY_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_COMP_EFFICIENCY_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_COMP_EFFICIENCY_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_COMP_EFFICIENCY_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_COMP_EFFICIENCY_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_ERAS_drw_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_ERAS_drw_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_ERAS_drw_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_ERAS_drw_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_ERAS_drw_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_ERAS_drw_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_ERAS_drw_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_ERAS_drw_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_ERAS_drw_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_ERAS_drw_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_ERAS_drw_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_ERAS_drw_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_ERAS_drw_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_ERAS_ln_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_ERAS_ln_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_ERAS_ln_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_ERAS_ln_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_ERAS_ln_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_ERAS_ln_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_ERAS_ln_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_ERAS_ln_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_ERAS_ln_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_ERAS_ln_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_ERAS_ln_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_ERAS_ln_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_ERAS_ln_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_ERAS_ls_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_ERAS_ls_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_ERAS_ls_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_ERAS_ls_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_ERAS_ls_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_ERAS_ls_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_ERAS_ls_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_ERAS_ls_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_ERAS_ls_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_ERAS_ls_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_ERAS_ls_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_ERAS_ls_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_ERAS_ls_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_ERAS_nw_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_ERAS_nw_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_ERAS_nw_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_ERAS_nw_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_ERAS_nw_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_ERAS_nw_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_ERAS_nw_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_ERAS_nw_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_ERAS_nw_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_ERAS_nw_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_ERAS_nw_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_ERAS_nw_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_ERAS_nw_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_ERAS_os_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_ERAS_os_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_ERAS_os_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_ERAS_os_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_ERAS_os_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_ERAS_os_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_ERAS_os_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_ERAS_os_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_ERAS_os_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_ERAS_os_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_ERAS_os_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_ERAS_os_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_ERAS_os_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_ERAS_sw_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_ERAS_sw_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_ERAS_sw_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_ERAS_sw_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_ERAS_sw_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_ERAS_sw_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_ERAS_sw_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_ERAS_sw_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_ERAS_sw_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_ERAS_sw_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_ERAS_sw_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_ERAS_sw_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_ERAS_sw_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_ERAS_wb_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_ERAS_wb_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_ERAS_wb_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_ERAS_wb_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_ERAS_wb_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_ERAS_wb_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_ERAS_wb_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_ERAS_wb_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_ERAS_wb_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_ERAS_wb_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_ERAS_wb_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_ERAS_wb_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_ERAS_wb_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_ERAS_ws_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_ERAS_ws_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_ERAS_ws_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_ERAS_ws_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_ERAS_ws_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_ERAS_ws_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_ERAS_ws_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_ERAS_ws_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_ERAS_ws_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_ERAS_ws_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_ERAS_ws_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_ERAS_ws_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_ERAS_ws_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_EMATH_decomp_I_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_EMATH_decomp_I_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_EMATH_decomp_I_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_EMATH_decomp_I_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_EMATH_decomp_I_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_EMATH_decomp_I_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_EMATH_decomp_I_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_EMATH_decomp_I_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_EMATH_decomp_I_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_EMATH_decomp_I_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_EMATH_decomp_I_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_EMATH_decomp_I_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_EMATH_decomp_I_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_EMATH_ident_I_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_EMATH_ident_I_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_EMATH_ident_I_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_EMATH_ident_I_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
