assessmentIdentifier,Assessment,identificationCode,scoreType,resultDataType
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text text total,Integer
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Text total,Integer
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Total Accuracy,Percentile
FastBridge_COMP_EFFICIENCY_PM,COMP_EFFICIENCY,COMP_EFFICIENCY,Total Items,Integer
FastBridge_ERAS_drw_PM,ERAS-drw,ERAS_drw,Total Accuracy,Percentile
FastBridge_ERAS_drw_PM,ERAS-drw,ERAS_drw,Total Words,Integer
FastBridge_ERAS_drw_PM,ERAS-drw,ERAS_drw,Total Words Read,Integer
FastBridge_ERAS_drw_PM,ERAS-drw,ERAS_drw,WRC per minute,Integer
FastBridge_ERAS_drw_PM,ERAS-drw,ERAS_drw,Words Read Correct,Integer
FastBridge_ERAS_ln_PM,ERAS-ln,ERAS_ln,Total Accuracy,Percentile
FastBridge_ERAS_ln_PM,ERAS-ln,ERAS_ln,Total Words Read,Integer
FastBridge_ERAS_ln_PM,ERAS-ln,ERAS_ln,WRC per minute,Integer
FastBridge_ERAS_ln_PM,ERAS-ln,ERAS_ln,Words Read Correct,Integer
FastBridge_ERAS_ls_PM,ERAS-ls,ERAS_ls,Total Accuracy,Percentile
FastBridge_ERAS_ls_PM,ERAS-ls,ERAS_ls,Total Words Read,Integer
FastBridge_ERAS_ls_PM,ERAS-ls,ERAS_ls,WRC per minute,Integer
FastBridge_ERAS_ls_PM,ERAS-ls,ERAS_ls,Words Read Correct,Integer
FastBridge_ERAS_nw_PM,ERAS-nw,ERAS_nw,Total Accuracy,Percentile
FastBridge_ERAS_nw_PM,ERAS-nw,ERAS_nw,Total Words,Integer
FastBridge_ERAS_nw_PM,ERAS-nw,ERAS_nw,Total Words Read,Integer
FastBridge_ERAS_nw_PM,ERAS-nw,ERAS_nw,WRC per minute,Integer
FastBridge_ERAS_nw_PM,ERAS-nw,ERAS_nw,Words Read Correct,Integer
FastBridge_ERAS_os_PM,ERAS-os,ERAS_os,IC per minute,Decimal
FastBridge_ERAS_os_PM,ERAS-os,ERAS_os,Items Correct,Integer
FastBridge_ERAS_os_PM,ERAS-os,ERAS_os,Total Items,Integer
FastBridge_ERAS_sw_PM,ERAS-sw,ERAS_sw,Total Accuracy,Percentile
FastBridge_ERAS_sw_PM,ERAS-sw,ERAS_sw,Total Words,Integer
FastBridge_ERAS_sw_PM,ERAS-sw,ERAS_sw,Total Words Read,Integer
FastBridge_ERAS_sw_PM,ERAS-sw,ERAS_sw,WRC per minute,Integer
FastBridge_ERAS_sw_PM,ERAS-sw,ERAS_sw,Words Read Correct,Integer
FastBridge_ERAS_wb_PM,ERAS-wb,ERAS_wb,IC per minute,Decimal
FastBridge_ERAS_wb_PM,ERAS-wb,ERAS_wb,Items Correct,Integer
FastBridge_ERAS_wb_PM,ERAS-wb,ERAS_wb,Total Items,Integer
FastBridge_ERAS_ws_PM,ERAS-ws,ERAS_ws,IC per minute,Decimal
FastBridge_ERAS_ws_PM,ERAS-ws,ERAS_ws,Items Correct,Integer
FastBridge_ERAS_ws_PM,ERAS-ws,ERAS_ws,Total Items,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,CBMMath Fluency - 1x1 Addition to 10,CBMMath_Fluency_1x1_Addition_to_10,Total Items,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,CBMMath Fluency - 1x1 Addition to 10,CBMMath_Fluency_1x1_Addition_to_10,IC per minute,Decimal
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,CBMMath Fluency - 1x1 Addition to 10,CBMMath_Fluency_1x1_Addition_to_10,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,CBMMath Fluency - 1x1 Addition to 10,CBMMath_Fluency_1x1_Addition_to_10,Items Attempted,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_to_10_PM,CBMMath Fluency - 1x1 Addition to 10,CBMMath_Fluency_1x1_Addition_to_10,Items Correct,Integer
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,CBMMath Fluency - 1x1 Subtraction from 10,CBMMath_Fluency_1x1_Subtraction_from_10,Total Items,Integer
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,CBMMath Fluency - 1x1 Subtraction from 10,CBMMath_Fluency_1x1_Subtraction_from_10,IC per minute,Decimal
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,CBMMath Fluency - 1x1 Subtraction from 10,CBMMath_Fluency_1x1_Subtraction_from_10,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,CBMMath Fluency - 1x1 Subtraction from 10,CBMMath_Fluency_1x1_Subtraction_from_10,Items Attempted,Integer
FastBridge_CBMMath_Fluency_1x1_Subtraction_from_10_PM,CBMMath Fluency - 1x1 Subtraction from 10,CBMMath_Fluency_1x1_Subtraction_from_10,Items Correct,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,CBMMath Fluency - 1x1 Addition to 18,CBMMath_Fluency_1x1_Addition_to_18,Total Items,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,CBMMath Fluency - 1x1 Addition to 18,CBMMath_Fluency_1x1_Addition_to_18,IC per minute,Decimal
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,CBMMath Fluency - 1x1 Addition to 18,CBMMath_Fluency_1x1_Addition_to_18,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,CBMMath Fluency - 1x1 Addition to 18,CBMMath_Fluency_1x1_Addition_to_18,Items Attempted,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_to_18_PM,CBMMath Fluency - 1x1 Addition to 18,CBMMath_Fluency_1x1_Addition_to_18,Items Correct,Integer
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,CBMMath Fluency - 1x1 and 1x2 Addition to 20,CBMMath_Fluency_1x1_and_1x2_Addition_to_20,Total Items,Integer
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,CBMMath Fluency - 1x1 and 1x2 Addition to 20,CBMMath_Fluency_1x1_and_1x2_Addition_to_20,IC per minute,Decimal
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,CBMMath Fluency - 1x1 and 1x2 Addition to 20,CBMMath_Fluency_1x1_and_1x2_Addition_to_20,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,CBMMath Fluency - 1x1 and 1x2 Addition to 20,CBMMath_Fluency_1x1_and_1x2_Addition_to_20,Items Attempted,Integer
FastBridge_CBMMath_Fluency_1x1_and_1x2_Addition_to_20_PM,CBMMath Fluency - 1x1 and 1x2 Addition to 20,CBMMath_Fluency_1x1_and_1x2_Addition_to_20,Items Correct,Integer
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_20_PM,CBMMath Fluency - 2x1 Subtraction from 20,CBMMath_Fluency_2x1_Subtraction_from_20,Total Items,Integer
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_20_PM,CBMMath Fluency - 2x1 Subtraction from 20,CBMMath_Fluency_2x1_Subtraction_from_20,IC per minute,Decimal
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_20_PM,CBMMath Fluency - 2x1 Subtraction from 20,CBMMath_Fluency_2x1_Subtraction_from_20,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_20_PM,CBMMath Fluency - 2x1 Subtraction from 20,CBMMath_Fluency_2x1_Subtraction_from_20,Items Attempted,Integer
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_20_PM,CBMMath Fluency - 2x1 Subtraction from 20,CBMMath_Fluency_2x1_Subtraction_from_20,Items Correct,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 10,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10,Total Items,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 10,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10,IC per minute,Decimal
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 10,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 10,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10,Items Attempted,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 10,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10,Items Correct,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 20,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20,Total Items,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 20,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20,IC per minute,Decimal
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 20,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 20,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20,Items Attempted,Integer
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20_PM,CBMMath Fluency - 1x1 Addition and Subtraction to 20,CBMMath_Fluency_1x1_Addition_and_Subtraction_to_20,Items Correct,Integer
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x1 Addition to 100 without regrouping,CBMMath_Fluency_2x1_Addition_to_100_without_regrouping,Total Items,Integer
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x1 Addition to 100 without regrouping,CBMMath_Fluency_2x1_Addition_to_100_without_regrouping,IC per minute,Decimal
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x1 Addition to 100 without regrouping,CBMMath_Fluency_2x1_Addition_to_100_without_regrouping,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x1 Addition to 100 without regrouping,CBMMath_Fluency_2x1_Addition_to_100_without_regrouping,Items Attempted,Integer
FastBridge_CBMMath_Fluency_2x1_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x1 Addition to 100 without regrouping,CBMMath_Fluency_2x1_Addition_to_100_without_regrouping,Items Correct,Integer
FastBridge_CBMMath_Fluency_2x2_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x2 Addition to 100 without regrouping,CBMMath_Fluency_2x2_Addition_to_100_without_regrouping,Total Items,Integer
FastBridge_CBMMath_Fluency_2x2_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x2 Addition to 100 without regrouping,CBMMath_Fluency_2x2_Addition_to_100_without_regrouping,IC per minute,Decimal
FastBridge_CBMMath_Fluency_2x2_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x2 Addition to 100 without regrouping,CBMMath_Fluency_2x2_Addition_to_100_without_regrouping,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_2x2_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x2 Addition to 100 without regrouping,CBMMath_Fluency_2x2_Addition_to_100_without_regrouping,Items Attempted,Integer
FastBridge_CBMMath_Fluency_2x2_Addition_to_100_without_regrouping_PM,CBMMath Fluency - 2x2 Addition to 100 without regrouping,CBMMath_Fluency_2x2_Addition_to_100_without_regrouping,Items Correct,Integer
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x1 Subtraction from 100 without regrouping,CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping,Total Items,Integer
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x1 Subtraction from 100 without regrouping,CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping,IC per minute,Decimal
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x1 Subtraction from 100 without regrouping,CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x1 Subtraction from 100 without regrouping,CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping,Items Attempted,Integer
FastBridge_CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x1 Subtraction from 100 without regrouping,CBMMath_Fluency_2x1_Subtraction_from_100_without_regrouping,Items Correct,Integer
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x2 Subtraction from 100 without regrouping,CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping,Total Items,Integer
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x2 Subtraction from 100 without regrouping,CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping,IC per minute,Decimal
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x2 Subtraction from 100 without regrouping,CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x2 Subtraction from 100 without regrouping,CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping,Items Attempted,Integer
FastBridge_CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping_PM,CBMMath Fluency - 2x2 Subtraction from 100 without regrouping,CBMMath_Fluency_2x2_Subtraction_from_100_without_regrouping,Items Correct,Integer
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,CBMMath Fluency - Addition and Subtraction to 100,CBMMath_Fluency_Addition_and_Subtraction_to_100,Total Items,Integer
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,CBMMath Fluency - Addition and Subtraction to 100,CBMMath_Fluency_Addition_and_Subtraction_to_100,IC per minute,Decimal
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,CBMMath Fluency - Addition and Subtraction to 100,CBMMath_Fluency_Addition_and_Subtraction_to_100,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,CBMMath Fluency - Addition and Subtraction to 100,CBMMath_Fluency_Addition_and_Subtraction_to_100,Items Attempted,Integer
FastBridge_CBMMath_Fluency_Addition_and_Subtraction_to_100_PM,CBMMath Fluency - Addition and Subtraction to 100,CBMMath_Fluency_Addition_and_Subtraction_to_100,Items Correct,Integer
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,CBMMath Fluency - Multiplication to 12,CBMMath_Fluency_Multiplication_to_12,Total Items,Integer
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,CBMMath Fluency - Multiplication to 12,CBMMath_Fluency_Multiplication_to_12,IC per minute,Decimal
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,CBMMath Fluency - Multiplication to 12,CBMMath_Fluency_Multiplication_to_12,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,CBMMath Fluency - Multiplication to 12,CBMMath_Fluency_Multiplication_to_12,Items Attempted,Integer
FastBridge_CBMMath_Fluency_Multiplication_to_12_PM,CBMMath Fluency - Multiplication to 12,CBMMath_Fluency_Multiplication_to_12,Items Correct,Integer
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,CBMMath Fluency - 2x1 Division from 100,CBMMath_Fluency_2x1_Division_from_100,Total Items,Integer
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,CBMMath Fluency - 2x1 Division from 100,CBMMath_Fluency_2x1_Division_from_100,IC per minute,Decimal
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,CBMMath Fluency - 2x1 Division from 100,CBMMath_Fluency_2x1_Division_from_100,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,CBMMath Fluency - 2x1 Division from 100,CBMMath_Fluency_2x1_Division_from_100,Items Attempted,Integer
FastBridge_CBMMath_Fluency_2x1_Division_from_100_PM,CBMMath Fluency - 2x1 Division from 100,CBMMath_Fluency_2x1_Division_from_100,Items Correct,Integer
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,CBMMath Fluency - Multiplication and Division,CBMMath_Fluency_Multiplication_and_Division,Total Items,Integer
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,CBMMath Fluency - Multiplication and Division,CBMMath_Fluency_Multiplication_and_Division,IC per minute,Decimal
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,CBMMath Fluency - Multiplication and Division,CBMMath_Fluency_Multiplication_and_Division,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,CBMMath Fluency - Multiplication and Division,CBMMath_Fluency_Multiplication_and_Division,Items Attempted,Integer
FastBridge_CBMMath_Fluency_Multiplication_and_Division_PM,CBMMath Fluency - Multiplication and Division,CBMMath_Fluency_Multiplication_and_Division,Items Correct,Integer
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,"CBMMath Fluency - Addition, Subtraction, Multiplication, and Division",CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division,Total Items,Integer
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,"CBMMath Fluency - Addition, Subtraction, Multiplication, and Division",CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division,IC per minute,Decimal
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,"CBMMath Fluency - Addition, Subtraction, Multiplication, and Division",CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division,Items Correct Per 10 minutes,Decimal
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,"CBMMath Fluency - Addition, Subtraction, Multiplication, and Division",CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division,Items Attempted,Integer
FastBridge_CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division_PM,"CBMMath Fluency - Addition, Subtraction, Multiplication, and Division",CBMMath_Fluency_Addition_Subtraction_Multiplication_and_Division,Items Correct,Integer
