assessmentIdentifier,original_grade,gradeLevelDescriptor
FastBridge_AUTOreading,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_AUTOreading,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_AUTOreading,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_AUTOreading,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_AUTOreading,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_AUTOreading,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_AUTOreading,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_AUTOreading,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_AUTOreading,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_AUTOreading,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_AUTOreading,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_AUTOreading,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_AUTOreading,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_AUTOreading,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
