assessment_identifier,assessmentTitle,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
SC-Alt ELA,SC-Alt,uri://cambiumassessment.com/Assessment,uri://ed.sc.gov/AssessmentCategoryDescriptor#ALT,uri://ed.sc.gov/AcademicSubjectDescriptor#English/Language Arts
SC-Alt Mathematics,SC-Alt,uri://cambiumassessment.com/Assessment,uri://ed.sc.gov/AssessmentCategoryDescriptor#ALT,uri://ed.sc.gov/AcademicSubjectDescriptor#Mathematics
SC-Alt Science,SC-Alt,uri://cambiumassessment.com/Assessment,uri://ed.sc.gov/AssessmentCategoryDescriptor#ALT,uri://ed.sc.gov/AcademicSubjectDescriptor#Science
SC-Alt Social Studies,SC-Alt,uri://cambiumassessment.comAssessment,uri://ed.sc.gov/AssessmentCategoryDescriptor#ALT,uri://ed.sc.gov/AcademicSubjectDescriptor#Social Studies
