assessmentIdentifier,codeValue,description,namespace,shortDescription,isBasePeriod
Fastbridge_earlyReadingSpanish,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall,1
Fastbridge_earlyReadingSpanish,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter,1
Fastbridge_earlyReadingSpanish,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring,1
Fastbridge_earlyReadingSpanish,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4,1
Fastbridge_earlyReadingSpanish,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5,1
