identificationCode,scoreType,resultDatatypeTypeDescriptor
DecodableWords,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterNames,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterNames,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterNames,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterNames,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterNames,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterNames,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterNames,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterSounds,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterSounds,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterSounds,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterSounds,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterSounds,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterSounds,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterSounds,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OnsetSounds,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OnsetSounds,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OnsetSounds,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OnsetSounds,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OnsetSounds,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OralRepitition,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OralRepitition,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OralRepitition,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OralRepitition,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OralRepitition,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OralRepitition,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OralRepitition,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OralRepitition,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SentenceReading,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SentenceReading,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SentenceReading,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SentenceReading,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SentenceReading,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SentenceReading,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SentenceReading,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SightWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SightWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SightWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SightWords,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SightWords,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SightWords,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SightWords,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SyllableReading,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SyllableReading,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SyllableReading,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SyllableReading,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SyllableReading,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SyllableReading,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SyllableReading,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordBlending,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
