assessmentIdentifier,edfi_descriptor
NWEA-Map-Fluency-Foundational-Skills,uri://ed-fi.org/AssessmentCategoryDescriptor#Other
NWEA-Map-Fluency-Foundational-Skills-Beginner,uri://ed-fi.org/AssessmentCategoryDescriptor#Other
NWEA-Map-Fluency-Foundational-Skills-with-Dyslexia-Screener,uri://ed-fi.org/AssessmentCategoryDescriptor#Other
NWEA-Map-Fluency-Adaptive-Oral-Reading,uri://ed-fi.org/AssessmentCategoryDescriptor#Other
NWEA-Map-Fluency-Adaptive-Oral-Reading-Passages-Only,uri://ed-fi.org/AssessmentCategoryDescriptor#Other
NWEA-Map-Fluency-Unknown,uri://ed-fi.org/AssessmentCategoryDescriptor#Other
