assessmentIdentifier,assessmentTitle,namespace
CAINC-IREADY-DIAGNOSTIC-ELA,Curriculum Associates Diagnostic ELA Assessment,uri://cainc.com/
CAINC-IREADY-DIAGNOSTIC-MATH,Curriculum Associates Diagnostic MATH Assessment,uri://cainc.com/
