assessmentIdentifier,academicSubjectDescriptor
IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
