codeValue,description,namespace,shortDescription
2TestDuration,Session 2 Test Duration,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,2TestDuration
DOB,Date of Birth,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,DOB
District,District Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,District
English,English Proficiency,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,English
FName,Student First Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FName
FallCode,Final Fall Assignment Code Value,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FallCode
FedReport,Observed Federal Reporting Category,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,FedReport
G3RTSFlag,Grade 3 Read-to-Succeed Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,G3RTSFlag
Gender,Student Gender,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Gender
Generation,Student Generation,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Generation
Gifted,Gifted and Talented,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Gifted
GriddedFName,Gridded First Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,GriddedFName
GriddedLName,Gridded Last Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,GriddedLName
GriddedMI,Gridded Middle Initial,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,GriddedMI
Hispanic,Latino or Hispanic Indicator,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Hispanic
HomeSch,Home School Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,HomeSch
IEP,IEP Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP
IEP_AU,Autism,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_AU
IEP_DB,Deaf-Blindness,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_DB
IEP_DD,Developmental Delay,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_DD
IEP_EH,Emotionally Handicapped,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_EH
IEP_EM,Educable Mentally Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_EM
IEP_HH,Hearing Handicapped,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_HH
IEP_LD,Learning Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_LD
IEP_MD,Multiple Disabilities,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_MD
IEP_OH,Orthopedically Impaired,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_OH
IEP_OHI,Other Health Impaired,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_OHI
IEP_PMD,Profoundly Mentally Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_PMD
IEP_SP,Speech/Language,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_SP
IEP_TBI,Traumatic Brain Injury,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_TBI
IEP_TM,Trainable Mentally Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_TM
IEP_VH,Blind and Visually Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_VH
InstrSetting,Instructional Setting,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,InstrSetting
LName,Student Last Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,LName
MName,Student Middle Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,MName
Migrant,Migrant Status,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Migrant
PermID,Perm ID,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,PermID
Plan504,504 Status,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Plan504
Precoded,Precoded Record Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Precoded
RaceA,Asian,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceA
RaceB,Black or African American,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceB
RaceI,American Indian or Alaska Native,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceI
RaceP,Native Hawaiian or Other Pacific Islander,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceP
RaceW,White,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceW
School,School Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,School
TrueGrade,True Grade,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TrueGrade
VSchool,Virtual School Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,VSchool
