assessmentIdentifier,edfi_descriptor
STAR-EARLY-LIT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
STAR-MA,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
STAR-RD,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
