identificationCode,assessmentIdentifier,namespace,description,parentIdentificationCode
beacon_ela_text_types,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Text Types and Purposes,beacon_ela_writing
beacon_ela_text_types,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Text Types and Purposes,beacon_ela_writing
beacon_ela_text_types,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Text Types and Purposes,beacon_ela_writing
beacon_ela_conventions,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Conventions of Standard English,beacon_ela_writing
beacon_ela_conventions,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Conventions of Standard English,beacon_ela_writing
beacon_ela_conventions,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Conventions of Standard English,beacon_ela_writing
beacon_ela_conventions,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Conventions of Standard English,beacon_ela_writing
beacon_ela_research,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Research,beacon_ela_writing
beacon_ela_research,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Research,beacon_ela_writing
beacon_ela_research,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Research,beacon_ela_writing
beacon_ela_research,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Research,beacon_ela_writing
beacon_math_algebraic_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Algebraic Reasoning,
beacon_math_algebraic_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Algebraic Reasoning,
beacon_math_algebraic_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Algebraic Reasoning,
beacon_math_algebraic_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Algebraic Reasoning,
beacon_math_numerical_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Numerical Reasoning,
beacon_math_numerical_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Numerical Reasoning,
beacon_math_numerical_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Numerical Reasoning,
beacon_math_numerical_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Numerical Reasoning,
beacon_math_measurement_and_statistical_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Measurement and Statistical Reasoning,
beacon_math_measurement_and_statistical_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Measurement and Statistical Reasoning,
beacon_math_measurement_and_statistical_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Measurement and Statistical Reasoning,
beacon_math_measurement_and_statistical_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Measurement and Statistical Reasoning,
beacon_math_geometric_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Geometric Reasoning,
beacon_math_geometric_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Geometric Reasoning,
beacon_math_geometric_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Geometric Reasoning,
beacon_math_geometric_reasoning,beacon_math,uri://datarecognitioncorp.com/Assessment,Beacon Math - Geometric Reasoning,
beacon_math_data_probability_statistics,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Data, Probability, and Statistical Reasoning",
beacon_math_data_probability_statistics,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Data, Probability, and Statistical Reasoning",
beacon_math_data_probability_statistics,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Data, Probability, and Statistical Reasoning",
beacon_math_data_probability_statistics,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Data, Probability, and Statistical Reasoning",
beacon_math_measurement_geometry_spatial,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Measurement, Geometry, and Spatial Reasoning",
beacon_math_measurement_geometry_spatial,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Measurement, Geometry, and Spatial Reasoning",
beacon_math_measurement_geometry_spatial,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Measurement, Geometry, and Spatial Reasoning",
beacon_math_measurement_geometry_spatial,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Measurement, Geometry, and Spatial Reasoning",
beacon_math_patterns_algebra_functional,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Patterns, Algebra and Functional Reasoning",
beacon_math_patterns_algebra_functional,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Patterns, Algebra and Functional Reasoning",
beacon_math_patterns_algebra_functional,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Patterns, Algebra and Functional Reasoning",
beacon_math_patterns_algebra_functional,beacon_math,uri://datarecognitioncorp.com/Assessment,"Beacon Math - Patterns, Algebra and Functional Reasoning",
beacon_ela_foundations,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Foundations,
beacon_ela_foundations,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Foundations,
beacon_ela_foundations,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Foundations,
beacon_ela_foundations,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Foundations,
beacon_ela_applications_of_reading,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Applications of Reading,
beacon_ela_applications_of_reading,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Applications of Reading,
beacon_ela_applications_of_reading,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Applications of Reading,
beacon_ela_applications_of_reading,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Applications of Reading,
beacon_ela_written_and_oral_communications,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Written and Oral Communications,
beacon_ela_written_and_oral_communications,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Written and Oral Communications,
beacon_ela_written_and_oral_communications,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Written and Oral Communications,
beacon_ela_written_and_oral_communications,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Written and Oral Communications,
beacon_ela_reading_vocabulary,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Reading Vocabulary Across Genres,beacon_ela_reading
beacon_ela_reading_vocabulary,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Reading Vocabulary Across Genres,beacon_ela_reading
beacon_ela_reading_vocabulary,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Reading Vocabulary Across Genres,beacon_ela_reading
beacon_ela_reading_vocabulary,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Reading Vocabulary Across Genres,beacon_ela_reading
beacon_ela_writing_skills,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Writing Skills,
beacon_ela_writing_skills,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Writing Skills,
beacon_ela_writing_skills,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Writing Skills,
beacon_ela_writing_skills,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Writing Skills,
beacon_ela_research_and_evaluating_ideas,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Research and Evaluating Ideas,
beacon_ela_research_and_evaluating_ideas,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Research and Evaluating Ideas,
beacon_ela_research_and_evaluating_ideas,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Research and Evaluating Ideas,
beacon_ela_research_and_evaluating_ideas,beacon_ela,uri://datarecognitioncorp.com/Assessment,Beacon Reading/Writing - Research and Evaluating Ideas,
