assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,academicSubjectDescriptor,assessmentCategoryDescriptor
SC_PASS_Science,SCPASS - Science,SCPASS,uri://datarecognitioncorp.com/Assessments/SCPASS,uri://ed-fi.org/AcademicSubjectDescriptor#Science,uri://datarecognitioncorp.com/Assessments/SCPASS/AssessmentCategoryDescriptor#State summative assessment
SC_PASS_Social_Studies,SCPASS - Social Studies,SCPASS,uri://datarecognitioncorp.com/Assessments/SCPASS,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies,uri://datarecognitioncorp.com/Assessments/SCPASS/AssessmentCategoryDescriptor#State summative assessment
