assessmentIdentifier,assessmentTitle,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
ILEARN,English/Language Arts,uri://idoe.gov/ILEARN/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
ILEARN,Mathematics,uri://idoe.gov/ILEARN/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
ILEARN,Social Studies,uri://idoe.gov/ILEARN/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
ILEARN,Biology,uri://idoe.gov/ILEARN/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences
ILEARN,Science,uri://idoe.gov/ILEARN/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Science
ILEARN,Reading,uri://idoe.gov/ILEARN/assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
