codeValue,description,namespace,shortDescription
AP Score,AP Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,AP Score
AP Award,AP Award,uri://collegeboard.org/AssessmentReportingMethodDescriptor,AP Award
AP Irregularity Code,AP Irregularity Code,uri://collegeboard.org/AssessmentReportingMethodDescriptor,AP Irregularity Code
