from,to
01,AP Scholar
02,AP Scholar with Honor
03,AP Scholar with Distinction
04,State AP Scholar
05,National AP Scholar
06,National AP Scholar (Canada)
07,AP International Diploma
08,DoDEA AP Scholar
09,International AP Scholar
12,National AP Scholar (Bermuda)
13,AP Capstone Diploma
14,AP Seminar and Research Certificate
