from,to
PK,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
00,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
01,uri://ed-fi.org/GradeLevelDescriptor#First grade
02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
