assessmentIdentifier,namespace,identificationCode,AcademicSubjectDescriptor
Reading,<NAMESPACE_PREFIX>/FountasAndPinnell/Reading,Fiction,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Reading
Reading,<NAMESPACE_PREFIX>/FountasAndPinnell/Reading,Nonfiction,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Reading
Reading,<NAMESPACE_PREFIX>/FountasAndPinnell/Reading,Generic,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Reading
