codeValue,description,namespace,shortDescription,isBasePeriod
01,Fall,<NAMESPACE_PREFIX>/FountasAndPinnell/AssessmentPeriodDescriptor,Fall,1
02,Winter,<NAMESPACE_PREFIX>/FountasAndPinnell/AssessmentPeriodDescriptor,Winter,1
03,Spring,<NAMESPACE_PREFIX>/FountasAndPinnell/AssessmentPeriodDescriptor,Spring,1
