codeValue,description,namespace,shortDescription
Scale Score,Scale Score,uri://ed-fi.org/AssessmentReportingMethodDescriptor,Scale Score
Performance Level,Performance Level,uri://ed-fi.org/AssessmentReportingMethodDescriptor,Performance Level
