codeValue,description,namespace,shortDescription
Developing,Developing Performance,uri://tea.texas.gov/PerformanceLevelDescriptor,Developing
Satisfactory,Satisfactory Performance,uri://tea.texas.gov/PerformanceLevelDescriptor,Satisfactory
Accomplished,Accomplished Performance,uri://tea.texas.gov/PerformanceLevelDescriptor,Accomplished
Did Not Meet,Did Not Meet Grade Level Performance,uri://tea.texas.gov/PerformanceLevelDescriptor,Did Not Meet
Approaches,Approaches Grade Level Performance,uri://tea.texas.gov/PerformanceLevelDescriptor,Approaches
Meets,Meets Grade Level Performance,uri://tea.texas.gov/PerformanceLevelDescriptor,Meets
Masters,Masters Grade Level Performanceuri://tea.texas.gov/PerformanceLevelDescriptor,Masters
