codeValue,description,namespace,shortDescription
Fall,Fall,uri://pearson.com/DIAL4/AssessmentPeriodDescriptor,Fall
Spring,Spring,uri://pearson.com/DIAL4/AssessmentPeriodDescriptor,Spring
