assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_aMath,lowRisk,Low Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Low Risk
FastBridge_aMath,someRisk,Some Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Some Risk
FastBridge_aMath,highRisk,High Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,High Risk
FastBridge_aMath,Advanced,Advanced,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Advanced
FastBridge_aReading,lowRisk,Low Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Low Risk
FastBridge_aReading,someRisk,Some Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Some Risk
FastBridge_aReading,highRisk,High Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,High Risk
FastBridge_aReading,Advanced,Advanced,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Advanced
