assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_aReading,Growth Percentile by Start Score from Spring,"Ranking of a student's growth relative to other students who had similar starting scores compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Spring
FastBridge_aReading,Growth Percentile by Start Score from Winter,"Ranking of a student's growth relative to other students who had similar starting scores compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Winter
FastBridge_aReading,Growth Score from Fall,Difference between two assessment scores across different periods compared to fall of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Fall
FastBridge_aReading,Growth Score from SP 4,Difference between two assessment scores across different periods compared to screening period 4 of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Screening Period 4
FastBridge_aReading,Growth Score from Spring,Difference between two assessment scores across different periods compared to spring of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Spring
FastBridge_aReading,Growth Score from Winter,Difference between two assessment scores across different periods compared to winter of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Winter
FastBridge_aReading,LEA Percentile,Percentile rank at LEA level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,LEA Percentile
FastBridge_aReading,National Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Fall
FastBridge_aReading,National Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Screening Period 4
FastBridge_aReading,National Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Spring
FastBridge_aReading,National Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Winter
FastBridge_aReading,National Percentile,Percentile rank at national level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Percentile
FastBridge_aReading,Risk Level,Risk level assessment,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Risk Level
FastBridge_aReading,School Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Fall
FastBridge_aReading,School Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Screening Period 4
FastBridge_aReading,School Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Spring
FastBridge_aReading,School Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Winter
FastBridge_aReading,School Percentile,Percentile rank at school level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Percentile
FastBridge_aReading,Test Theta,Test Theta,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Test Theta
