
assessmentIdentifier,codeValue,description,shortDescription,namespace
aMath,Quantile,Quantile,Quantile,uri://fastbridge.org/ResultDatatypeTypeDescriptor
aReading,Lexile,Lexile,Lexile,uri://fastbridge.org/ResultDatatypeTypeDescriptor
