assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_earlyMath,lowRisk,Low Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Low Risk
FastBridge_earlyMath,someRisk,Some Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,Some Risk
FastBridge_earlyMath,highRisk,High Risk,uri://fastbridge.org/assessment/PerformanceLevelDescriptor,High Risk
