assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_earlyMath,Fall,Fall assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
FastBridge_earlyMath,Winter,Winter assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
FastBridge_earlyMath,Spring,Spring assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
FastBridge_earlyMath,Summer,Summer assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Summer
FastBridge_earlyMath,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
FastBridge_earlyMath,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
