from,to
03,Third grade
3,Third grade
04,Fourth grade
4,Fourth grade
05,Fifth grade
5,Fifth grade
06,Sixth grade
6,Sixth grade
07,Seventh grade
7,Seventh grade
08,Eighth grade
8,Eighth grade
11,Eleventh grade
