assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_COMPefficiency,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
FastBridge_COMPefficiency,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
FastBridge_COMPefficiency,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
FastBridge_COMPefficiency,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
FastBridge_COMPefficiency,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
