codeValue,description,shortDescription,namespace,reportingMethod
1,Completion Criteria met,Completion Criteria met,uri://www.riversideinsights.com/Iowa_Assessments/PerformanceLevelDescriptor,uri://www.riversideinsights.com/Iowa_Assessments/AssessmentReportingMethodDescriptor#Completion Criteria
0,Completion Criteria not met,Completion Criteria not met,uri://www.riversideinsights.com/Iowa_Assessments/PerformanceLevelDescriptor,uri://www.riversideinsights.com/Iowa_Assessments/AssessmentReportingMethodDescriptor#Completion Criteria
