assessmentIdentifier,codeValue,description,namespace,shortDescription
FastBridge_SAEBRS_Student,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
FastBridge_SAEBRS_Student,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
FastBridge_SAEBRS_Student,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
FastBridge_SAEBRS_Student,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
FastBridge_SAEBRS_Student,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
FastBridge_SAEBRS_Teacher,Fall,Fall,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
FastBridge_SAEBRS_Teacher,Winter,Winter,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
FastBridge_SAEBRS_Teacher,Spring,Spring,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
FastBridge_SAEBRS_Teacher,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
FastBridge_SAEBRS_Teacher,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
