descriptor,codeValue,shortDescription,description,namespace
PerformanceLevelDescriptor,Meets Benchmark,Meets Benchmark,Student meets College and Career Readiness Benchmark,uri://collegeboard.org/sat-suite/
PerformanceLevelDescriptor,Does Not Meet Benchmark,Does Not Meet Benchmark,Student does not meet College and Career Readiness Benchmark,uri://collegeboard.org/sat-suite/
