assessmentIdentifier,edfi_descriptor
PSAT 8/9_1600,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
PSAT 10_1600,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
PSAT/NMSQT_1600,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
SAT_1600,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
PSAT 8/9_2400,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
PSAT 10_2400,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
PSAT/NMSQT_2400,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
SAT_2400,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
PSAT 8/9_Adaptive,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
PSAT 10_Adaptive,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
PSAT/NMSQT_Adaptive,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
SAT_Adaptive,uri://ed-fi.org/AssessmentCategoryDescriptor#College entrance exam
