identificationCode,assessmentIdentifier,namespace,description
Applied Mathematics,ACTWorkKeysPre2022,uri://act.org,"Measures critical thinking, mathematical reasoning, and problem solving techniques."
Locating Information,ACTWorkKeysPre2022,uri://act.org,"Locating Information"
Reading for Information,ACTWorkKeysPre2022,uri://act.org,"Reading for Information"
Applied Math,ACTWorkKeys,uri://act.org,"Measures critical thinking, mathematical reasoning, and problem solving techniques."
Workplace Documents,ACTWorkKeys,uri://act.org,"Measures skills that individuals use when they read real workplace documents and use that information to make job-related decisions and solve problems."
Graphic Literacy,ACTWorkKeys,uri://act.org,"Measures skills that individuals use when they read and comprehend graphical materials to solve work-related problems."
