assessmentIdentifier,assessmentTitle,assessmentNamespace,assessmentFamily,assessmentCategoryDescriptor,academicSubjectDescriptor
ACTWorkKeysPre2022,ACT WorkKeys Assessment,uri://act.org/Assessments/ACTWorkKeys,ACTWorkKeys,uri://act.org/Assessments/ACTWorkKeys/AssessmentCategoryDescriptor#HS_CAREER_COLLEGE,uri://ed-fi.org/academicSubjectDescriptor#Career and Technical Education
ACTWorkKeys,ACT WorkKeys Assessment,uri://act.org/Assessments/ACTWorkKeys,ACTWorkKeys,uri://act.org/Assessments/ACTWorkKeys/AssessmentCategoryDescriptor#HS_CAREER_COLLEGE,uri://ed-fi.org/academicSubjectDescriptor#Career and Technical Education
