codeValue,description,namespace,shortDescription,dataType
Scale Score,The assessment is reported using a scale score.,uri://act.org/Assessments/ACTWorkKeys/AssessmentReportingMethodDescriptor,Scale Score,Integer
Level Score,The assessment is reported using a level score.,uri://act.org/Assessments/ACTWorkKeys/AssessmentReportingMethodDescriptor,Level Score,Level
ACCTWK_NCRC Credential,The assessment is reported using a certificate level.,uri://act.org/Assessments/ACTWorkKeys/AssessmentReportingMethodDescriptor,ACCTWK_NCRC Credential,Level
